name,price,unit_price,district_code,segment,type,area,level,remaining_years,date
SEASCAPE,4388000,2028,4,CCR,Resale,2164,06 to 10,87.0,Nov-19
COMMONWEALTH TOWERS,1300000,1887,3,RCR,Resale,689,16 to 20,93.0,Nov-19
THE TRILINQ,1755000,1304,5,OCR,Resale,1346,06 to 10,92.0,Nov-19
THE CREST,2085000,2201,3,RCR,Resale,947,01 to 05,92.0,Nov-19
THE ANCHORAGE,1848888,1468,3,RCR,Resale,1259,01 to 05,999.0,Nov-19
MOUNT FABER LODGE,4400000,1188,4,RCR,Resale,3703,06 to 10,999.0,Oct-19
BLUE HORIZON,990000,1022,5,OCR,Resale,969,21 to 25,80.0,Oct-19
DOVER PARKVIEW,1088000,1162,5,RCR,Resale,936,06 to 10,73.0,Oct-19
CARIBBEAN AT KEPPEL BAY,1470000,1751,4,RCR,Resale,840,06 to 10,79.0,Oct-19
THE INTERLACE,4550000,868,4,RCR,Resale,5242,16 to 20,89.0,Oct-19
WESTCOVE CONDOMINIUM,970000,834,5,OCR,Resale,1163,01 to 05,75.0,Oct-19
REFLECTIONS AT KEPPEL BAY,2130000,1310,4,RCR,Resale,1625,01 to 05,86.0,Oct-19
REFLECTIONS AT KEPPEL BAY,2056000,1661,4,RCR,Resale,1238,06 to 10,86.0,Oct-19
COMMONWEALTH TOWERS,1300000,1887,3,RCR,Resale,689,16 to 20,93.0,Oct-19
FABER CREST,950000,919,5,OCR,Resale,1033,01 to 05,76.0,Oct-19
HERITAGE VIEW,1575000,1199,5,RCR,Resale,1313,16 to 20,76.0,Oct-19
CARIBBEAN AT KEPPEL BAY,1320000,1572,4,RCR,Resale,840,01 to 05,79.0,Oct-19
TANGLIN VIEW,2315000,1202,3,RCR,Resale,1927,16 to 20,77.0,Oct-19
THE CREST,3300000,2030,3,RCR,Resale,1625,01 to 05,92.0,Oct-19
VILLA DE WEST,1750000,1145,5,RCR,Resale,1528,01 to 05,999.0,Oct-19
DOMAIN 21,1493000,1613,3,RCR,Resale,926,16 to 20,84.0,Oct-19
BLUE HORIZON,1320000,1085,5,OCR,Resale,1216,11 to 15,80.0,Oct-19
THE PARC CONDOMINIUM,2020000,1331,5,OCR,Resale,1518,11 to 15,999.0,Oct-19
EMERALD PARK,1410888,1298,3,RCR,Resale,1087,06 to 10,71.0,Oct-19
THE CREST,3416340,2061,3,RCR,Resale,1658,01 to 05,92.0,Oct-19
THE INTERLACE,2390000,1354,4,RCR,Resale,1765,11 to 15,89.0,Oct-19
CORALS AT KEPPEL BAY,8750000,2903,4,RCR,Resale,3014,01 to 05,87.0,Oct-19
GOLD COAST CONDOMINIUM,2025000,1107,5,RCR,Resale,1830,01 to 05,999.0,Oct-19
CARABELLE,1670000,1326,5,OCR,Resale,1259,01 to 05,865.0,Oct-19
THE REGENCY AT TIONG BAHRU,2900000,1772,3,RCR,Resale,1636,26 to 30,999.0,Oct-19
KENTVIEW PARK,1450000,1113,5,RCR,Resale,1302,01 to 05,999.0,Oct-19
CORALS AT KEPPEL BAY,8700000,2897,4,RCR,Resale,3003,01 to 05,87.0,Oct-19
RIVER PLACE,1170000,1430,3,RCR,Resale,818,01 to 05,75.0,Oct-19
THE CREST,2370000,1984,3,RCR,Resale,1195,06 to 10,92.0,Oct-19
THE INTERLACE,1800000,1429,4,RCR,Resale,1259,06 to 10,89.0,Oct-19
HERITAGE VIEW,1130000,1166,5,RCR,Resale,969,06 to 10,76.0,Oct-19
REFLECTIONS AT KEPPEL BAY,3116855,1734,4,RCR,Resale,1798,01 to 05,86.0,Oct-19
REFLECTIONS AT KEPPEL BAY,1756370,1665,4,RCR,Resale,1055,06 to 10,86.0,Oct-19
ECHELON,1023000,2263,3,RCR,Resale,452,36 to 40,92.0,Oct-19
REFLECTIONS AT KEPPEL BAY,1921280,1594,4,RCR,Resale,1206,01 to 05,86.0,Oct-19
CORALS AT KEPPEL BAY,2664000,2134,4,RCR,Resale,1249,06 to 10,87.0,Oct-19
